Gene,Mean_Normalized_Counts,condition-cKOvsaFL.log2FC,condition-cKOvsaFL.FC,condition-cKOvsaFL.RawP,condition-cKOvsaFL.FDR,cKO_A2.stabilized,cKO_E1.stabilized,cKO_F1.stabilized,cKO_G1.stabilized,cKO_H1.stabilized,FL_A1.stabilized,FL_B1.stabilized,FL_C1.stabilized,FL_D1.stabilized,miR-15/16 seed-match location,AHC reads
Wdfy4,695.0773521,0.038318193,1.026916012,0.810473297,0.917378776,10.28268468,7.856874609,8.243310094,10.33702168,10.00065952,7.857973848,9.896361061,10.03058624,9.450392991,Not_3UTR,1
Wdhd1,3538.299756,0.101579552,1.072947549,0.291374052,0.569200699,11.92193609,11.83631206,11.94127952,11.92476285,11.71887088,11.83722309,11.83988284,11.86095597,11.49014632,Not_3UTR,13
Wdpcp,47.73378254,-0.01816725,0.987486376,0.913286201,0.964414344,7.024425994,6.722903004,6.984539932,6.974686406,6.831839427,6.847638723,6.968845143,7.007943005,6.865107969,NA,NA
Wdr1,15277.54288,-0.082548334,0.944388033,0.188388767,0.451482148,13.76536391,13.92608668,13.85541047,13.91336804,13.88178927,14.02614997,13.91927366,13.97644499,13.88943021,NA,NA
Wdr11,1186.276636,0.006317142,1.00438831,0.948437194,0.98059353,10.20630875,10.31596271,10.34495589,10.47561561,10.23550367,10.17468976,10.38498694,10.47643542,10.18953287,Not_3UTR,10
Wdr12,2062.245509,-0.016221427,0.988819139,0.862437316,0.942132839,11.08432767,11.06341409,11.22826223,10.94011381,10.98435997,11.10716531,10.93385112,11.00865522,11.25132736,NA,NA
Wdr13,939.3267826,-0.129485599,0.91415734,0.231935814,0.501084523,9.958821733,9.907951393,9.775665528,9.958228007,10.10777084,9.84555164,10.26814398,10.14520091,10.00746907,Not_3UTR,0
Wdr18,2371.853882,-0.04040426,0.972382436,0.682907357,0.850118083,11.13412697,11.30929322,11.20925204,11.18186861,11.38243566,11.44912313,11.10396566,11.15700351,11.41078682,Not_3UTR,2
Wdr19,107.6457403,0.034248626,1.024023359,0.821537768,0.922548014,7.576686918,7.527533657,7.615395713,7.571803278,7.489951648,7.604902789,7.717371379,7.564039184,7.169503083,Not_3UTR,1
Wdr20,597.0210264,0.041098082,1.028896655,0.633651868,0.820027158,9.554411224,9.422750221,9.405956024,9.412306247,9.370184226,9.432790019,9.359457026,9.498592905,9.287514551,3UTR,0
Wdr24,1174.250248,0.108143296,1.077840196,0.281071205,0.556090832,10.24666246,10.35150911,10.15143111,10.43796556,10.52809307,10.19366651,10.31954213,10.3307401,10.1082514,Not_3UTR,1
Wdr25,215.6712357,-0.313750819,0.804547319,0.006591814,0.074176401,8.062687641,8.104344345,8.013057212,8.130220267,8.197395241,8.244703936,8.328949984,8.283703182,8.561395385,NA,NA
Wdr26,7146.612773,0.160567026,1.117726355,0.129281971,0.3723654,13.10250726,12.80794454,13.00166035,12.83745499,12.68817904,12.80380431,12.76843729,12.81483514,12.47857372,Not_3UTR,17
Wdr3,3183.066972,0.128497555,1.09315468,0.129651416,0.372860914,11.75307235,11.73022618,11.85555205,11.6755071,11.6418312,11.72619711,11.6144547,11.63432861,11.41355911,NA,NA
Wdr31,45.8703997,0.399150702,1.31873136,0.016645135,0.126350926,7.070281698,6.851216522,7.010638949,7.014142753,6.987030803,6.817087323,6.604740893,6.741759655,6.849773816,NA,NA
Wdr33,3254.178164,0.108194208,1.077878234,0.076947002,0.286785209,11.82248929,11.75866184,11.72437098,11.77608406,11.6855443,11.70301632,11.64627707,11.65563171,11.5767871,NA,NA
Wdr34,188.8848396,0.00805204,1.005596853,0.944765833,0.979163754,7.988429967,8.059470811,8.092355569,8.09203683,8.192720576,8.070651569,7.947368674,8.045574652,8.243955561,Not_3UTR,0
Wdr35,298.8713178,0.374967449,1.296810295,0.002866545,0.044695366,8.764267535,8.82753657,8.67257334,8.783225476,8.546239654,8.421225994,8.538911004,8.46562558,8.081928294,NA,NA
Wdr36,3189.130467,0.187477318,1.138770731,0.044718301,0.21712562999999999,11.87449926,11.74881596,11.90706492,11.66061359,11.59329143,11.69683036,11.51741486,11.60986172,11.43336385,Not_3UTR,8
Wdr37,1822.628887,0.264840897,1.201503539,0.001245804,0.026223875,11.03849855,10.99623106,10.97154917,11.11190984,10.93667582,10.6616247,10.83064731,10.86331761,10.61873963,3UTR,86
Wdr38,8.515691125,-0.045700536,0.968819269,0.8082262,0.916070131,6.202286357,5.975619219,6.098825601,6.061500293,6.140576422,6.019900785,5.913474195,6.350630896,6.145775443,NA,NA
Wdr4,1540.414324,0.153080977,1.111941568,0.0798655,0.292374374,10.65737771,10.74970797,10.77282621,10.70773757,10.78714868,10.66796683,10.41200169,10.49609564,10.73328919,Not_3UTR,7
Wdr41,489.1455125,-0.016767031,0.988445254,0.865886154,0.943291549,9.151889056,9.257873459,9.137859155,9.117677428,9.141630223,9.193929912,9.286936186,9.257051535,8.945922223,3UTR,0
Wdr43,7374.322977,-0.029131061,0.980010382,0.729428848,0.876528145,12.87219501,12.80876879,13.06184793,12.71852627,12.77491,12.96450115,12.86643204,12.82998497,12.86539099,Not_3UTR,4
Wdr44,665.6151716,0.083952691,1.059918026,0.538655211,0.761741586,9.661303394,9.54299705,9.467351745,9.753500146,9.52770685,9.400392029,9.752363446,9.703416119,9.072893232,Not_3UTR,3
